text,label,channel,source,predicted_label,spam_score
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",spam,sms,uci_sms_spam_collection,ham,0.23054429937924054
SMS. ac sun0819 posts HELLO:\You seem cool,spam,sms,uci_sms_spam_collection,ham,0.19204825874812598
"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",spam,sms,uci_sms_spam_collection,ham,0.39840166582918135
Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL,spam,sms,uci_sms_spam_collection,ham,0.2642572518465412
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",spam,sms,uci_sms_spam_collection,ham,0.22882399467961076
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam,sms,uci_sms_spam_collection,ham,0.4874124461194511
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls å£1/minMobsmoreLKPOBOX177HP51FL,spam,sms,uci_sms_spam_collection,ham,0.47745374525768325
Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,spam,sms,uci_sms_spam_collection,ham,0.23926977506042943
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam,sms,uci_sms_spam_collection,ham,0.17727498621497173
"Auction round 4. The highest bid is now å£54. Next maximum bid is å£71. To bid, send BIDS e. g. 10 (to bid å£10) to 83383. Good luck.",spam,sms,uci_sms_spam_collection,ham,0.34808636482467237
