text,label,channel,source,predicted_label,spam_score
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,sms,uci_sms_spam_collection,spam,0.6169344231970251
Are you free now?can i call now?,ham,sms,uci_sms_spam_collection,spam,0.5838341365267373
Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL <#>,ham,sms,uci_sms_spam_collection,spam,0.7069549027269517
HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto <#> .Call Ms.Suman <#> for Telephonic interview -via Indyarocks.com,ham,sms,uci_sms_spam_collection,spam,0.521340931722057
Many times we lose our best ones bcoz we are,ham,sms,uci_sms_spam_collection,spam,0.5180987099423175
"PGP Corp. Purchases PGP Desktop Encryption and Wireless Product Lines from NET --- begin forwarded text To: rah@ibuc.com From: ""Network Associates"" Date: Mon, 19 Aug 2002 05:34:11 -0700 Reply-To: ""Network Associates"" Subject: PGP Corp. Purchases PGP Desktop Encryption and Wireless Product Lines from NET August 19, 2002 Dear Customer, Today we are pleased to announce that PGP Corporation, a newly formed, venture-funded security company, has acquired the PGP desktop encryption and wireless product lines from Network Associates. As you know, prior to placing the products into maintenance mode, we were actively looking for a buyer that would continue the development and support of the technology. Network Associates has retained products developed using PGPsdk including McAfee E-Business Server for encrypted server-to-server file transfer, McAfee Desktop Firewall and McAfee VPN Client. These products will remain a part of Network Associates existing product portfolio and we will continue to develop them to meet your security needs. PGP Corporation has acquired PGPmail, PGPfile, PGPdisk, PGPwireless, PGPadmin and PGPkeyserver encryption software products for Win32 and Macintosh, PGPsdk encryption software development kit, and PGP Corporate Desktop for Macintosh. In addition to the technology, PGP Corporation has acquired all worldwide customer license agreements and technical support obligations. To ensure a seamless transition, Network Associates will work with PGP Corporation to support PGP customers through October 26, 2002. PGP Corporation will contact you shortly with details on its plans and product direction. We trust that you will have continued success with the PGP desktop and wireless encryption products through PGP Corporation. Network Associates appreciates your business and we value our continued relationship across our remaining product lines. Best Regards, Sandra England Executive Vice President, Business Development and Strategic Research Network Associates **************************************************************************************************** You have received this message because you are a subscriber to the Network Associates Web sites. To unsubscribe, please follow the instructions at the end of this message. This information update is available at no charge to all registered users of Network Associates Web site. * To change your email address, send a reply to this email address and to subscribe@nai.com with the words, ""change-address"" in the subject line. In the body of the message include your old and new email addresses with the original message. Use the following format for email changes: OLD: enduser@olddomain.com NEW: Joseph_User@newdomain.com ______________________________________________________________________ This message was sent by Network Associates, Inc. using Responsys Interact (TM). If you prefer not to receive future e-mail from Network Associates, Inc.: http://nai.rsc01.net/servlet/optout?gHpgJDWWBEkHoFpINJDJhtE0 To view our permission marketing policy: http://www.rsvp0.net --- end forwarded text -- ----------------- R. A. Hettinga The Internet Bearer Underwriting Corporation 44 Farquhar Street, Boston, MA 02131 USA ""... however it may deserve respect for its usefulness and antiquity, [predicting the end of the world] has not been found agreeable to experience."" -- Edward Gibbon, 'Decline and Fall of the Roman Empire' http://xent.com/mailman/listinfo/fork",ham,email,20030228_easy_ham_2,spam,0.6123061489644076
"Get the Perfect Mix of ZDNet's Best Stuff! ZDNet Announcements July 10, 2002 Exclusive Offer for ZDNet Members... Now 40% off! Dear ZDNet Member: Just a quick note to let you know that your ZDNet membership now qualifies you for a special 40% discount on ZDNet Rewards , our advanced tech service! Join ZDNet Rewards and you get all these great benefits: Interactive Web design classes: learn online, at your own pace Subscription to Computer Shopper magazine Access to ZDNet's private tech research center Members-only online forum for expert PC guidance and support WebFerretPRO: a FULL copy of the ultimate Web search utility And more ... try it now! Try ZDNet Rewards for a full month for just $1 -- and if you love using these advanced features, you can become a full member for 40% off the regular cost! Go here for all the details: Join today and get your first month for just $1! Thanks for being a part of ZDNet, the premier technology community. -- The ZDNet team Sign up for more free newsletters from ZDNet The e-mail address for your subscription is qqqqqqqqqq-zdnet@example.com Unsubscribe | Manage My Subscriptions | FAQ | Advertise Home | eBusiness | Security | Networking | Applications | Platforms | Hardware | Careers Copyright 2002 CNET Networks, Inc. All rights reserved. ZDNet is a registered service mark of CNET Networks, Inc.",ham,email,20021010_hard_ham,spam,0.6463796056367788
"Take all your music on the road (ZDNET SHOPPER) Buyer's Alert | July 12, 2002 When ordering, make sure the reseller/manufacturer provides the rebate coupon you need. Expires July 5, 2002 $50 off Cidco Mailstation with subscription Expires July 31, 2002 Get a car cassette adapter and power adapter FREE with Rio Volt SP250 Expires August 31, 2002 $20 off SideWinder Strategic Commander Expires September 30, 2002 $20 off Rio 600 64MB $20 off Nike PSA (120) $20 off RioVolt SP90 Expires March 3, 2003 $10 off Microsoft Natural Keyboard Pro PS2/USB --> Notebooks 1. Gateway 600XL Premier merchant: CDW $399 --> 2. Dell Inspiron 2600 series Premier merchant: buy.com $445 --> 3. Dell SmartStep 100N Premier merchant: buy.com $649 --> 4. Toshiba Satellite 5105-S607 Premier merchant: CDW $499 --> 5. Toshiba Satellite 2400-S251 Premier merchant: Dell $1,467 --> More Top Selling Products... Dear Reader, Hard-drive-based MP3 players, which allow you to store massive amounts of MP3s and other files on a portable device, have been around for a few years. But recently, three new players have taken the concept to a new high with impressive advancements in design, functionality, and interface. Each has its unique strong points, but they're all groundbreaking in their own way. Check out our hands-on reviews. Apple iPod (10GB) Lowest price: $479 Creative Labs Nomad Jukebox 3 Lowest price: $345 SONICblue Rio Riot Lowest price: $277 iRiver SlimX iMP-350 This is the thinnest MP3 CD player we've seen, and its antiskip protection and extra features make it a pleasure to use. Read Review | Check Prices Adobe Photoshop 7.0 If you're an advanced photographer and don't have Photoshop yet or if you need natural paint tools, version 7.0 is a must-have; otherwise, version 6.0 will do the trick. Read Review | Check Prices Get Double Memory FREE, Plus Big Savings on Select Systems! Buy select Dell™ systems and get Double Memory FREE! PLUS save up to $400! Offer ends soon. Small business only. Click for details. $50K-a-day Giveaway from Dell Home Systems… Buy any new Dell Home System on or before July 31, 2002 and you'll be automatically entered to win $50,000. The next lucky winner could be you! Canon inkjet cartridges start at $2.00! Epson inkjet cartridges start at $4.00! HP inkjet cartridges start at $15.00! Toners start at just $17.00! http://www.voltexx.com --> Please note that prices fluctuate and may have changed since the sending of this newsletter. Lowest prices listed are usually after rebates (but please check with the reseller, sometimes the rebate is included in their price). Compaq iPaq H3635 Price recently dropped 11% Lowest price: $550 Audiovox DV1680 DVD Price recently dropped 20% Lowest price: $399 Creative Labs Nomad Jukebox 6GB Price recently dropped 10% Lowest price: $149 SPECIAL FEATURE Did you know that CNET ChannelOnline enables your sales team to view pricing and product availability in real time? ChannelOnline's Quote & Procure displays up-to-the-minute pricing and availability from multiple distributors - so you can get your customers what they need, when they need it. You'll be able to: View data from your select distributors Compare negotiated pricing for all your distributors Determine which SKUs are available at your suppliers' warehouses Tell me more about Quote & Procure Elsewhere on ZDNet Veritas CEO Gary Bloom speaks out at Tech Update. Check out these personal laser printer picks at ZDNet Reviews. See how WAP works and how you should use it at Builder.com. Need a new job? Find one today in ZDNet's Career Center. CIOs talk out about the future of IT at CNET News.com. Sign up for more free newsletters from ZDNet The e-mail address for your subscription is qqqqqqqqqq-zdnet@example.com Unsubscribe | Change e-mail format | Change e-mail address | FAQ | Advertise Home | eBusiness | Security | Networking | Applications | Platforms | Hardware | Careers Copyright 2002 CNET Networks, Inc. All rights reserved. ZDNet is a registered service mark of CNET Networks, Inc.",ham,email,20021010_hard_ham,spam,0.6447295059210985
"FREE SHIPPING! No Minimum Purchase* at Buy.com Buyers Alert Announce * * * * * * * * SPECIAL ADVERTISER ANNOUNCEMENT * * * * * * * * July 15, 2002 Free Shipping at Buy.com!* pcAnywhere 10.5 List Price - $179.95 Buy.com price - $159.95 Plus an $80.00 mail-in upgrade rebate available from Symantec. more info Linksys 11Mbps Wireless PC Card Buy.com price - $69.95 Share printers, files and more anywhere within your wireless LAN infrastructure; increasing your productivity and keeping you ""in touch."" more info MouseMan Traveler Optical Mouse for Notebooks List Price - $49.95 Buy.com price - $43.12 Travel anywhere with it. No ball. No cleaning. No hassle. more info Panasonic DVD-LV50 PalmTheater? Portable DVD-Video Player with Built-in Freestyle LCD List Price - $599.95 Buy.com price - $499.99 Panasonic's portable DVD players are equipped with built-in widescreen LCD monitors. more info Acer TM632XCI NB P4 List Price - $2,077.19 Buy.com price - $2,031.95 Mobile experience to the next Level! Amazing value on this Acer Notebook! more info 128MB SanDisk SmartMedia Card List Price - $108.75 Buy.com price - $55.58 Removable SmartMedia Card that's great for the Road! Plus Free Shipping! more info US Robotics 56K Global GSM & Cellular PC Card Modem List Price - $119.99 Buy.com price - $69.95 Get connected on your notebook anywhere your GSM Cell phone works! more info Toshiba PocketPC e310 List Price - $402.84 Buy.com price - $359.95 Easy to use, the Toshiba Pocket PC e310 features a familiar user interface and tools powered by Microsoft Windows such as Pocket Word, Excel, Outlook & Windows Media Player for Pocket PC 2002. more info All prices and product availability subject to change without notice. Unless noted, prices do not include shipping and applicable sales taxes. Product quantities limited. List price refers to manufacturer's suggested retail price and may be different than actual selling prices in your area. Please visit us at www.buy.com or the links above for more information including latest pricing, availability and restrictions on each offer. ""Buy.com"" and ""The Internet Superstore"" are trademarks of BUY.COM Inc. (C) BUY.COM Inc. 2002. All rights reserved. *FREE SHIPPING OFFER: Get FREE SHIPPING on qualified items for a limited time only. Qualified items are identified on product information pages with this free shipping icon. Standard ground shipping method will be selected by Buy.com except for books, videos, DVDs, music and games, which will ship via budget shipping method. Free shipping offer is limited to in stock items. Restrictions apply. See site for details. Sign up for more free newsletters from ZDNet The e-mail address for your subscription is qqqqqqqqqq-zdnet@example.com Unsubscribe | Manage My Subscriptions | FAQ | Advertise Home | eBusiness | Security | Networking | Applications | Platforms | Hardware | Careers",ham,email,20021010_hard_ham,spam,0.9646132162484102
"Malcolm in the Middle Sweepstakes Prize Notification May 7, 2002 Dear rod-3ds@arsecandle.org: Congratulations! On behalf of Frito-Lay, Inc., we are pleased to advise you that you've won Fourth Prize in the 3D's(R) Malcolm in the Middle(TM) Sweepstakes. Fourth Prize consists of 1 manufacturer's coupon redeemable at participating retailers for 1 free bag of 3D's(R) brand snacks (up to 7 oz. size), with an approximate retail value of $2.59 and an expiration date of 12/31/02. Follow these instructions to claim your prize: 1. Print out this email message. 2. Complete ALL of the information requested. Print clearly and legibly. Sign where indicated. 3. If you are under 18 or otherwise under the legal age of majority in your state, your parent or legal guardian must co-sign where indicated below. 4. Mail the completed and signed form to: 3D's(R) Malcolm in the Middle(TM) Sweepstakes, Redemption Center, PO Box 1520, Elmhurst IL 60126. WE MUST RECEIVE THIS FORM NO LATER THAN MAY 28, 2002 IN ORDER TO SEND YOU THE PRIZE. PLEASE DO NOT ATTEMPT TO REPLY TO THIS EMAIL. THE ONLY WAY TO CLAIM THE PRIZE IS TO FOLLOW THE INSTRUCTIONS ABOVE. YOUR PRIZE WILL BE MAILED TO YOU WITHIN 6 TO 8 WEEKS OF RECEIPT OF THIS FORM. Once again, on behalf of Frito-Lay, Inc., congratulations and thank you for participating in the Game. Sincerely, Game Security Services PRIZE ACCEPTANCE/RELEASE AND INDEMNIFICATION FORM 3D's(R) Malcolm in the Middle(TM) Sweepstakes 1. My social security number is: _______________________________ 2. My date of birth is: _______________________________________ 3. My telephone number is: __________________________________ 4. My home address is: _____________________________________ _____________________________________ 5. My email address is: _____________________________________ 6. I am a legal resident of the State of: _________________________ 7. I am above the legal age of majority in my state of residence or my parent or legal guardian has co-signed below. 8. I represent that I (1) have fully complied with all of the Official Rules of the Sweepstakes, and (2) have not committed any fraud or deception in participating in the Sweepstakes or in accepting the Prize. 9. By accepting the prize, I (and my parent/legal guardian if I am a minor) agree to release Frito-Lay, Inc. (""Sponsor""), FOX Broadcasting Company, 20th Century FOX Television, Regency Entertainment, their respective parent, subsidiary or affiliated companies, distributors, printing suppliers for this promotion, advertising, fulfillment, judging or promotion agencies, participating retailers, and all of their respective officers, directors, employees, representatives and agents from any liability for, and to hold them harmless against, any liability for injuries, losses or damages of any kind to persons or property resulting in whole or in part, directly or indirectly, from participation in the sweepstakes or acceptance, possession, misuse or use of any prize. Name [print full name]: _______________________________ Signature: _______________________________ Date: _______________________________ IF WINNER IS A MINOR IN HIS OR HER STATE OF RESIDENCE, WINNER'S PARENT OR LEGAL GUARDIAN MUST COMPLETE THE INFORMATION BELOW: I am the parent or legal guardian of the winner who has signed the foregoing Release. I AGREE TO THE TERMS OF THE RELEASE AND CONSENT TO THE ACCEPTANCE OF THE PRIZE ON THE WINNER'S BEHALF. Parent/Guardian's Name [print full name]: _______________________________ Parent/Guardian's Signature: _______________________________ Date: _______________________________ 2002 OFFICIAL RULES 3D's(R) Malcolm in the Middle(TM) Sweepstakes OPEN ONLY TO LEGAL U.S. RESIDENTS LOCATED IN THE U.S. AT THE TIME OF ENTRY. VOID ELSEWHERE AND WHEREVER PROHIBITED BY LAW, INCLUDING BUT NOT LIMITED TO, FLORIDA, PUERTO RICO, U.S. VIRGIN ISLANDS AND U.S. MILITARY INSTALLATIONS LOCATED IN A FOREIGN COUNTRY. NO PURCHASE NECESSARY. PURCHASE DOES NOT IMPROVE CHANCE OF WINNING. MANY WILL ENTER. FEW WILL WIN. ODDS DEPEND ON NUMBER OF ENTRIES RECEIVED. 1. ELIGIBILITY: Open only to legal U.S. residents located in the U.S. at the time of entry, excluding residents of Florida, Puerto Rico, the U.S. Virgin Islands and U.S. military installations located in a foreign country, who had online access on or before 1/26/02. Employees, contractors, directors and officers of Frito-Lay, Inc. (""Sponsor""), FOX Broadcasting Company, 20th Century FOX Television, Regency Entertainment, their respective parent, subsidiary and affiliated companies, distributors, printing suppliers for this promotion, advertising, fulfillment, judging and promotion agencies (collectively, ""Promotion Parties""), and their immediate family members and those living in their same households are not eligible. 2. TO ENTER: Beginning 12:00:01 a.m. E.T. 1/27/02, log on to www.3DsFun.com and click on the link on the home page to locate the official entry form. Follow on-screen directions to properly complete an entry form and send it electronically by 11:59:59 p.m. E.T. 2/11/02. In order for entry to be valid, entrants must click on the ""I accept"" button on the web site. All entries must be received no later than 11:59:59 p.m. E.T. on 2/13/02. LIMIT ONE ENTRY PER PERSON AND/OR E-MAIL ADDRESS. SUBSEQUENT ENTRIES WILL BE DISQUALIFIED. Promotion Parties assume no responsibility for lost, late, misdirected, stolen, undelivered, garbled, damaged, or incomplete entries, or for any computer, online, telephone or technical malfunctions that may occur. Promotion Parties also assume no responsibility for any technical problems in connection with transmission or receipt of online entries including faulty electronic data transmission, traffic congestion on the Internet or on the web site, hardware or software error, equipment failure or malfunction, or other online communications problems. In the event of a dispute regarding the identity of the person submitting an online entry, entries will be declared made by the authorized account holder of the e-mail address submitted at the time of entry. ""Authorized account holder"" is defined as the natural person who is assigned to an e-mail address by an Internet Access provider, online service provider, or other organization (e.g., business, educational institution, etc.) responsible for assigning e-mail addresses for the domain associated with the submitted e-mail address. All entries become the property of Sponsor and will not be returned to entrant. Automated entries (including but not limited to entries made using any script, macro, bot, or sweepstakes service) and facsimiles are not allowed. Potential winner may be requested to provide Sponsor with proof that the potential winner is the authorized account holder of the e-mail address associated with the winning entry. 3. WINNER SELECTION: Winners will be selected in a random drawing to take place on or about 2/28/02 by an independent judging organization, the judge, whose decisions are final and binding on all matters related to the sweepstakes. Odds of winning depend on the number of eligible entries received. Winners will be notified by e-mail. If any prize or correspondence (including e-mail) regarding any prize is returned as non-deliverable, prize may be forfeited and an alternate winner selected. Winners (or winner's parent or legal guardian, if winner is a minor) and Grand Prize winner's travel companions (or companion's parent or legal guardian for any companion who is a minor) will be required to complete, sign and return either a Prize Acceptance/Release and Indemnification form or an Affidavit of Eligibility/Liability Release (as directed by Sponsor), and, where lawful, a Publicity Release within twenty-one (21) days of winners' receipt of documents via e-mail or prize may be forfeited. Grand prize winner (or winner's parent or legal guardian, if winner is a minor) and winner's travel companions will also be required to complete, sign and return a set visit release together with completed I-9 and W-4 forms in order to visit the set of Malcolm in the Middle(TM) as described below in paragraph 4. Prizes won by minors will be awarded to a parent or legal guardian who must sign all required documents. 4. PRIZES: ONE (1) GRAND PRIZE: One trip for winner and 3 travel companions of winner's choosing to Los Angeles, CA to be completed on or before 12/31/02. Trip is for 4 persons but can include up to 8 persons under the following conditions: Among winner and the 3 selected travel companions, each traveler who is a minor in his/her state of residence must be accompanied by a parent or legal guardian of such minor at all times; Sponsor will provide trip accommodations for one parent or legal guardian to accompany him/her. Trip includes round-trip coach air transportation from a major gateway airport near winner's residence within the U.S.; 3 days/2 nights double occupancy standard hotel accommodations in the Los Angeles, CA metropolitan area (airport, carrier and hotel to be selected by Sponsor); accompanied admission to the set of FOX's Malcolm in the Middle(TM) (""MIM"") during a non-filming period selected by FOX to meet Frankie Muniz; and ground transportation between the California airport and hotel, and between the hotel and the MIM set. Grand Prize winner will also receive a check for $2,500, 1 MIM script autographed by Frankie Muniz, one MIM/3D's(R) brand snacks VIP pack (including 1 backpack, 1 book, 1 hat, 1 t-shirt, and 1 case consisting of fifteen 7 oz. bags of RUFFLES(R) 3D's(R) brand Maximum Cheddar flavored snacks). Approximate Retail Value (""ARV""): Between $7,500 and $15,000, depending on winner's point of travel origin and how many persons (up to 8) take the trip. All meals, gratuities, and other expenses associated with prize trip not specifically mentioned in these rules are the winner's sole responsibility. All travel must be taken by the date specified; no alternative travel dates are available. Winner, travel companions, and any necessary parent(s)/legal guardian(s) (the ""travel party"") must travel on same itinerary. In the event that circumstances prevent the travel party from being able to attend the set visit or meet Frankie Muniz, or limit this portion of the Grand Prize in any way, the winner agrees that the Promotion Parties shall have no obligations other than to deliver the remainder of the Grand Prize. FIVE (5) FIRST PRIZES: Manufacturer's coupons redeemable at participating retailers for 52 free 7 oz. bags of any 3D'S(R) brand snacks (with a retail value up to $2.59). ARV: $135. TEN (10) SECOND PRIZES: One MIM/3D's(R) brand snacks VIP pack (including 1 backpack, 1 book, 1 hat, ,1 t-shirt, and 1 case consisting of fifteen 7 oz. bags of RUFFLES(R) 3D's(R) brand Maximum Cheddar flavored snacks). ARV: $100. TWENTY (20) THIRD PRIZES: One MIM t-shirt and one MIM hat. ARV: $30. 100 FOURTH PRIZES: One manufacturer's coupon redeemable at participating retailers for 1 free bag of 3D's(R) brand snacks (up to 7 oz. size). ARV: $2.59. Free product coupons expire and must be redeemed by 12/31/02. No substitution, cash redemptions or transfer of prizes is permitted except at Sponsor's sole discretion. If a prize cannot be awarded for any reason, Sponsor reserves the right to substitute any prize with another prize of equal or greater value. Any portion of a prize not accepted by a winner shall be forfeited. All prizes will be awarded. 5. GENERAL CONDITIONS: Sweepstakes is not to be used in connection with any form of gambling. Prizes will be awarded and/or delivered only to addresses within the United States. Prize winners are solely responsible for any taxes on Prizes. This sweepstakes is subject to all federal, state and local laws, and Grand Prize winner will receive an IRS Form 1099 for the approximate retail value of the prize. By participating, entrants (and their parent(s)/legal guardian(s) if entrants are minors) agree to these Official Rules, Sponsor's Privacy Policy (available at www.3DsFun.com) and to the decisions of the judge, which are final and binding in all respects. If for any reason the sweepstakes is not capable of running as planned; including infection by computer virus, bugs, tampering, unauthorized intervention, fraud, technical failures, or any other causes which corrupt or affect the administration, security, fairness, integrity or proper conduct of the sweepstakes, Sponsor reserves the right, at its sole discretion, to disqualify any individual who is responsible or who tampers with the entry process, and to cancel or terminate the sweepstakes and select the winners from all eligible entries received prior to the cancellation or termination. This sweepstakes is offered only in the United States and is governed by the laws of the state of Texas, with venue in Dallas County, Texas, and all claims must be resolved in the federal or state courts of Dallas County, Texas. 6. LIMITATIONS OF LIABILITY AND RELEASE: By accepting prize, winners (and winners' parent(s)/legal guardian(s) if winners are minors) agree that the Promotion Parties, participating retailers, and all of their respective officers, directors, employees, representatives and agents will have no liability whatsoever for, and shall be held harmless by winners against, any liability for injuries, losses or damages of any kind to persons or property resulting in whole or in part, directly or indirectly, from participation in the sweepstakes or acceptance, possession, misuse or use of any prize. Except if winners are residents of TN or where prohibited by law, winners (and winners' parent(s)/legal guardian(s) if winners are minors) grant (and agree to confirm this grant in writing, if requested) permission for Sponsor and those acting under its authority to use his/her name, photograph, voice and/or likeness, for advertising and/or publicity purposes without additional compensation. 7. WINNERS' LIST: For a list of winners of prizes valued over $25, mail a self-addressed, stamped envelope to be postmarked by 2/11/02 and received by 2/18/02 to: Malcolm in the Middle(TM) Sweepstakes, Winners' List Requests, P.O. Box 1518, Elmhurst, IL 60126. 8. SPONSOR: Frito-Lay, Inc., 7701 Legacy Drive, Plano, TX 75024-4099. (c)2002. Frito-Lay, Inc. All rights reserved. Malcolm in the Middle(TM) and (c)2002 Twentieth Century Fox Film Corporation, Regency Entertainment (USA) Inc. and Monarchy Enterprises S.a.r.l. All rights reserved. (c)2002. FOX BROADCASTING COMPANY",ham,email,20021010_hard_ham,spam,0.9938238859877311
